"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 11:28:52.384","3.0818002486544369134","7.7045006216360913953","198.77611603821117114","0","0","100","100","100","100","214708224","111898624","118910976","32862208","23109632"
"05/08/2020 11:28:53.369","0","1.5873062635562305012","206.34981426230996249","0","0","100","100","100","100","214708224","111898624","119681024","32862208","23109632"
"05/08/2020 11:28:54.384","9.2307683218935796532","3.0769227739645268471","198.46151892071196698","0","0","100","100","100","100","214708224","111898624","120360960","32862208","23109632"
"05/08/2020 11:28:55.369","3.174526099125059897","1.5872630495625299485","199.99514424487878728","0","0","100","100","100","100","214708224","111898624","121135104","32862208","23109632"
"05/08/2020 11:28:56.384","0","3.0769942738367364043","200.00462779938783342","0","0","100","100","100","100","214708224","111898624","121905152","32862208","23109632"
"05/08/2020 11:28:57.383","1.5641656800326666499","6.2566627201306665995","198.64904136414870095","0","0","100","100","100","100","214708224","111898624","122679296","32862208","23109632"
"05/08/2020 11:28:58.368","0","6.3492495644160831247","200.00136127910658956","0","0","100","100","100","100","214708224","111898624","123473920","32862208","23109632"
"05/08/2020 11:28:59.383","0","6.1539812763396550821","201.5428868001237106","0","0","100","100","100","100","214708224","111898624","124252160","32862208","23109632"
"05/08/2020 11:29:00.368","1.5873023935504222415","0","201.58740398090361623","0","0","100","100","100","100","214708224","111898624","125022208","32862208","23109632"
"05/08/2020 11:29:01.368","3.1249268767110849332","0","199.99532010950943572","0","0","100","100","100","100","212627456","111898624","125792256","32862208","23109632"
