"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 15:16:09.527","15.104104739837234561","4.5312314219511700131","2298.8447414032270899","0","0","100","100","100","100","204480512","126189568","314064896","27664384","19173376"
"05/08/2020 15:16:15.311","0","0.54034679612995495379","41.606703302006529555","0","0","100","100","100","100","204480512","126189568","315117568","27664384","19173376"
"05/08/2020 15:16:16.295","0","0","395.23777402898360833","0","0","100","100","100","100","204480512","126189568","316727296","27664384","19173376"
"05/08/2020 15:16:17.311","0","0","395.38414822303718665","0","0","100","100","100","100","204480512","126189568","318418944","27664384","19173376"
"05/08/2020 15:16:18.295","1.5873023935504222415","0","395.23829599405513591","0","0","100","100","100","100","204480512","126189568","320122880","27664384","19173376"
"05/08/2020 15:16:19.300","0","0","393.21223548659543212","0","0","100","100","100","100","204480512","126189568","321753088","27664384","19173376"
"05/08/2020 15:16:20.305","0","0","401.17999912822648412","0","0","100","100","100","100","204480512","126189568","323997696","27664384","19173376"
"05/08/2020 15:16:21.290","0","0","393.65067368106451795","0","0","100","100","100","100","204480512","126189568","325599232","27791360","19173376"
"05/08/2020 15:16:29.066","1.2056581595298325738","1.2056581595298325738","683.0053473736502383","0","0","100","100","100","100","204402688","126189568","281620480","27791360","19173376"
"05/08/2020 15:16:35.305","0","0","26.796359416757990601","0","0","100","100","100","100","204402688","126189568","282308608","27791360","19173376"
"05/08/2020 15:16:36.289","0","1.5872998135570339784","392.06305394858731006","0","0","100","100","100","100","204402688","126189568","284024832","27791360","19173376"
"05/08/2020 15:16:37.289","1.5624995312501406275","0","395.31238140628556721","0","0","100","100","100","100","204402688","126189568","285741056","27791360","19173376"
"05/08/2020 15:16:38.305","0","0","396.92303784142393397","0","0","100","100","100","100","204402688","126189568","287649792","27791360","19173376"
"05/08/2020 15:16:39.289","1.5873022323005896439","0","395.23825584284679735","0","0","100","100","100","100","204402688","126189568","289251328","27791360","19173376"
"05/08/2020 15:16:40.299","0","1.5467116316773272811","391.31804281436382098","0","0","100","100","100","100","204402688","126189568","290914304","27791360","19173376"
"05/08/2020 15:16:41.315","0","3.0769221680476057657","387.69219317399830516","0","0","100","100","100","100","204402688","126189568","292573184","27791360","19173376"
"05/08/2020 15:16:47.528","0.25147574011523304849","0.50295148023046609698","392.80510605999398877","0","0","100","100","100","100","204775424","126189568","295063552","27791360","19173376"
